132: max: 0.893, min: 0.679, mean: 0.786, stdev: 0.046, maxDiff: 11, medDiff: 7
133: max: 0.893, min: 0.643, mean: 0.785, stdev: 0.053, maxDiff: 12, medDiff: 8
134: max: 0.893, min: 0.643, mean: 0.78, stdev: 0.05, maxDiff: 11, medDiff: 8
135: max: 0.893, min: 0.643, mean: 0.777, stdev: 0.056, maxDiff: 9, medDiff: 6
136: max: 0.857, min: 0.607, mean: 0.781, stdev: 0.054, maxDiff: 11, medDiff: 8
137: max: 0.857, min: 0.643, mean: 0.783, stdev: 0.053, maxDiff: 11, medDiff: 7
138: max: 0.893, min: 0.643, mean: 0.783, stdev: 0.055, maxDiff: 10, medDiff: 7
139: max: 0.893, min: 0.643, mean: 0.773, stdev: 0.054, maxDiff: 12, medDiff: 4
140: max: 0.893, min: 0.607, mean: 0.775, stdev: 0.057, maxDiff: 13, medDiff: 8
141: max: 0.857, min: 0.643, mean: 0.781, stdev: 0.054, maxDiff: 10, medDiff: 7
142: max: 0.893, min: 0.679, mean: 0.783, stdev: 0.046, maxDiff: 9, medDiff: 8
143: max: 0.893, min: 0.607, mean: 0.784, stdev: 0.052, maxDiff: 13, medDiff: 7
144: max: 0.893, min: 0.643, mean: 0.789, stdev: 0.046, maxDiff: 11, medDiff: 7
145: max: 0.893, min: 0.571, mean: 0.783, stdev: 0.055, maxDiff: 14, medDiff: 7
146: max: 0.893, min: 0.679, mean: 0.788, stdev: 0.053, maxDiff: 10, medDiff: 8
147: max: 0.929, min: 0.643, mean: 0.797, stdev: 0.053, maxDiff: 10, medDiff: 7
148: max: 0.929, min: 0.679, mean: 0.798, stdev: 0.054, maxDiff: 10, medDiff: 7
149: max: 0.929, min: 0.607, mean: 0.798, stdev: 0.053, maxDiff: 11, medDiff: 6
150: max: 0.929, min: 0.643, mean: 0.802, stdev: 0.05, maxDiff: 10, medDiff: 6
151: max: 0.929, min: 0.679, mean: 0.811, stdev: 0.049, maxDiff: 9, medDiff: 3
152: max: 0.929, min: 0.643, mean: 0.805, stdev: 0.049, maxDiff: 10, medDiff: 5
153: max: 0.929, min: 0.643, mean: 0.803, stdev: 0.055, maxDiff: 10, medDiff: 7
154: max: 0.929, min: 0.607, mean: 0.797, stdev: 0.061, maxDiff: 12, medDiff: 6
155: max: 0.929, min: 0.536, mean: 0.802, stdev: 0.071, maxDiff: 14, medDiff: 6
156: max: 0.929, min: 0.679, mean: 0.82, stdev: 0.047, maxDiff: 9, medDiff: 6
157: max: 0.929, min: 0.714, mean: 0.823, stdev: 0.045, maxDiff: 8, medDiff: 5
158: max: 0.929, min: 0.643, mean: 0.814, stdev: 0.055, maxDiff: 10, medDiff: 6
159: max: 0.929, min: 0.679, mean: 0.815, stdev: 0.051, maxDiff: 10, medDiff: 6
160: max: 0.929, min: 0.679, mean: 0.808, stdev: 0.051, maxDiff: 9, medDiff: 5
161: max: 0.929, min: 0.679, mean: 0.809, stdev: 0.05, maxDiff: 11, medDiff: 6
162: max: 0.929, min: 0.643, mean: 0.818, stdev: 0.049, maxDiff: 9, medDiff: 4
163: max: 0.929, min: 0.714, mean: 0.82, stdev: 0.048, maxDiff: 8, medDiff: 6
164: max: 0.929, min: 0.643, mean: 0.817, stdev: 0.05, maxDiff: 11, medDiff: 5
165: max: 0.929, min: 0.679, mean: 0.812, stdev: 0.058, maxDiff: 10, medDiff: 7
166: max: 0.929, min: 0.679, mean: 0.81, stdev: 0.054, maxDiff: 8, medDiff: 5
167: max: 0.929, min: 0.643, mean: 0.815, stdev: 0.054, maxDiff: 11, medDiff: 6
168: max: 0.929, min: 0.679, mean: 0.815, stdev: 0.053, maxDiff: 8, medDiff: 6
169: max: 0.929, min: 0.679, mean: 0.808, stdev: 0.058, maxDiff: 10, medDiff: 5
170: max: 0.929, min: 0.643, mean: 0.809, stdev: 0.062, maxDiff: 11, medDiff: 6
171: max: 0.929, min: 0.679, mean: 0.829, stdev: 0.049, maxDiff: 9, medDiff: 3
172: max: 0.929, min: 0.714, mean: 0.822, stdev: 0.049, maxDiff: 9, medDiff: 3
173: max: 0.929, min: 0.679, mean: 0.822, stdev: 0.054, maxDiff: 10, medDiff: 6
174: max: 0.964, min: 0.714, mean: 0.822, stdev: 0.052, maxDiff: 7, medDiff: 4
175: max: 0.964, min: 0.607, mean: 0.815, stdev: 0.062, maxDiff: 11, medDiff: 4
176: max: 0.964, min: 0.679, mean: 0.82, stdev: 0.057, maxDiff: 8, medDiff: 5
177: max: 0.964, min: 0.714, mean: 0.826, stdev: 0.054, maxDiff: 7, medDiff: 6
178: max: 0.964, min: 0.679, mean: 0.822, stdev: 0.054, maxDiff: 9, medDiff: 5
179: max: 0.929, min: 0.643, mean: 0.814, stdev: 0.057, maxDiff: 11, medDiff: 6
180: max: 0.893, min: 0.679, mean: 0.809, stdev: 0.051, maxDiff: 11, medDiff: 2
181: max: 0.893, min: 0.643, mean: 0.804, stdev: 0.055, maxDiff: 12, medDiff: 7
182: max: 0.929, min: 0.679, mean: 0.817, stdev: 0.051, maxDiff: 9, medDiff: 5
183: max: 0.893, min: 0.607, mean: 0.817, stdev: 0.048, maxDiff: 13, medDiff: 4
184: max: 0.929, min: 0.714, mean: 0.815, stdev: 0.046, maxDiff: 10, medDiff: 5
185: max: 0.964, min: 0.643, mean: 0.816, stdev: 0.05, maxDiff: 10, medDiff: 6
186: max: 0.964, min: 0.714, mean: 0.822, stdev: 0.047, maxDiff: 8, medDiff: 6
187: max: 0.929, min: 0.571, mean: 0.823, stdev: 0.058, maxDiff: 13, medDiff: 7
188: max: 0.929, min: 0.679, mean: 0.822, stdev: 0.052, maxDiff: 11, medDiff: 7
189: max: 0.929, min: 0.679, mean: 0.83, stdev: 0.055, maxDiff: 11, medDiff: 5
190: max: 0.964, min: 0.714, mean: 0.83, stdev: 0.053, maxDiff: 9, medDiff: 5
191: max: 0.964, min: 0.679, mean: 0.839, stdev: 0.053, maxDiff: 10, medDiff: 6
192: max: 0.964, min: 0.679, mean: 0.835, stdev: 0.06, maxDiff: 10, medDiff: 6
193: max: 0.964, min: 0.75, mean: 0.848, stdev: 0.058, maxDiff: 8, medDiff: 5
194: max: 0.964, min: 0.679, mean: 0.852, stdev: 0.054, maxDiff: 10, medDiff: 5
195: max: 0.964, min: 0.714, mean: 0.85, stdev: 0.055, maxDiff: 7, medDiff: 5
196: max: 0.964, min: 0.75, mean: 0.861, stdev: 0.051, maxDiff: 8, medDiff: 5
197: max: 1, min: 0.75, mean: 0.858, stdev: 0.054, maxDiff: 7, medDiff: 4
